ParameterCode;ParameterName;ParameterUnit;SiteCode;SiteName;ParameterThresholdComparison;ParameterThreshold;ParameterThresholdSource
trios;Nitrit;mg/l;ablauf_no2n;Ablauf Trios-Sonde;NA;NA;NA
trios;CSBeq;mg/l;ablauf_csb;Ablauf;NA;NA;NA
trios;SAK254;1/m;ablauf_sak;Ablauf;NA;NA;NA
q;Filtratmenge;L;gesamt;Filtrat 1 gesamt;NA;NA;NA
q;Filtratmenge;L;gestern;Filtrat 1 gestern;NA;NA;NA
q;Filtratmenge;L;gesamt_filt2;Filtrat 2 gesamt;NA;NA;NA
q;Filtratmenge;L;gestern_filt2;Filtrat 2 gestern;NA;NA;NA
q-nitri-gesamt;Luftmenge;Nm3;NA;Verdichter Nitrifikation gesamt;NA;NA;NA
q;Luftmenge;Nm3;sg1_gesamt;Verdichter 1 Filtration gesamt;NA;NA;NA
q;Luftmenge;Nm3;sg2_gesamt;Verdichter 2 Filtration gesamt;NA;NA;NA
q;Zulaufmenge;L;zp_gesamt;gesamt;NA;NA;NA
q;Zulaufmenge;L;zp_gestern;gestern;NA;NA;NA
q;ÜSS-Menge;L;uss_gesamt;gesamt;NA;NA;NA
t;Betriebsstunden;h;rechen;Rechen;NA;NA;NA
t;Betriebsstunden;h;nitri;Verdichter Nitrifikation;NA;NA;NA
t;Betriebsstunden;h;rp;Rezipumpe;NA;NA;NA
t;Betriebsstunden;h;sg1;Verdichter 1 Filtration;NA;NA;NA
t;Betriebsstunden;h;sg2;Verdichter 2 Filtration;NA;NA;NA
t;Betriebsstunden;h;fp;Filtratpumpe 1;NA;NA;NA
t;Betriebsstunden;h;fp2;Filtratpumpe 2;NA;NA;NA
t;Betriebsstunden;h;rw1;Rührwerk 1;NA;NA;NA
t;Betriebsstunden;h;rw2;Rührwerk 2;NA;NA;NA
t;Betriebsstunden;h;zp1;Zulaufpumpe;NA;NA;NA
t;Betriebsstunden;h;grobstoffp;Grobstoffpumpe;NA;NA;NA
