ParameterCode_SiteCode;ParameterCode;SiteCode;ParameterName_SiteName;ParameterName;SiteName;ParameterUnit;Comment;Source;DataType
h_grob;h;grob;Füllstand Grobstofftank;Füllstand;Grobstofftank;%;;online;raw
h_bel;h;bel;Füllstand Belebung;Füllstand;Belebung;%;;online;raw
h_filt;h;filt;Füllstand Filtration;Füllstand;Filtration;%;;online;raw
q_filt;q;filt;Durchfluss Filtrat 1;Durchfluss;Filtrat 1;l/h;;online;raw
p_filt;p;filt;Druck Filtrat 1;Druck;Filtrat 1;mbar;;online;raw
q_sg1;q;sg1;Durchfluss Verdichter 1 Filtration;Durchfluss;Verdichter 1 Filtration;Nm3/h;;online;raw
q_sg2;q;sg2;Durchfluss Verdichter 2 Filtration;Durchfluss;Verdichter 2 Filtration;Nm3/h;;online;raw
q_nitri;q;nitri;Durchfluss Verdichter Nitrifikation;Durchfluss;Verdichter Nitrifikation;Nm3/h;;online;raw
q_zp;q;zp;Durchfluss Zulaufpumpe;Durchfluss;Zulaufpumpe;l/h;;online;raw
q_rp;q;rp;Durchfluss Rezipumpe;Durchfluss;Rezipumpe;l/h;;online;raw
q_filtrat2;q;filtrat2;Durchfluss Filtrat 2;Durchfluss;Filtrat 2;l/h;;online;raw
p_filtrat2;p;filtrat2;Druck Filtrat 2;Druck;Filtrat 2;mbar;;online;raw
p_sg1;p;sg1;Druck Verdichter 1 Filtration;Druck;Verdichter 1 Filtration;mbar;;online;raw
p_sg2;p;sg2;Druck Verdichter 2 Filtration;Druck;Verdichter 2 Filtration;mbar;;online;raw
ldo_nitri;ldo;nitri;Sauerstoff Nitrifikation;Sauerstoff;Nitrifikation;mg/l;;online;raw
ldo_nitri_temp;ldo;nitri_temp;Temperatur Nitrifikation O2-Sonde;Temperatur;Nitrifikation O2-Sonde;°C;;online;raw
ldo_filter;ldo;filter;Sauerstoff Filtration;Sauerstoff;Filtration;mg/l;;online;raw
ldo_filter_temp;ldo;filter_temp;Temperatur Filtration O2-Sonde;Temperatur;Filtration O2-Sonde;°C;;online;raw
